poiType,poicode,name,month,h3index,h5,district_code,district,count,estimated_visit,country,version,customer,year,date,polygon,POI(s),state,brands
food.nightlife.bar_pub,POI_1001_356ttnf4-fcf780c80dca4163835502630e91140a,the bar,6,893da111ab3ffff,853da113fffffff,IN.HR.GU,Gurgaon,1,29,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,,Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_9999_16548459673249486641,"dhaba 29,sector 29",6,893da11a8bbffff,853da11bfffffff,IN.HR.GU,Gurgaon,36,610,IND,3.4,all_ind_3.4_all,2024,2024-06-05 00:01:01,"POLYGON ((77.0620947 28.4684535, 77.06231029999999 28.4686248, 77.0626666 28.4682784, 77.062451 28.4681071, 77.0620947 28.4684535))",Bar and Pub,Haryana,\N
food.nightlife.bar_pub,POI_1001_356ttncd-cbe61ff58d934b87b6ca4e45f997abde,spiritual bar & lounge,6,893da1188a3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,24,497,IND,3.4,all_ind_3.4_all,2024,2024-06-01 00:01:01,"POLYGON ((77.1044924 28.4219849, 77.1044923 28.4219722, 77.1044225 28.4219727, 77.1044212 28.4218493, 77.1039711 28.421853, 77.10397260000001 28.4219815, 77.1040387 28.4219809, 77.1040411 28.4222043, 77.1045915 28.4221997, 77.104591 28.4221526, 77.10468160000001 28.4221518, 77.1046801 28.4220161, 77.1045572 28.4220171, 77.10455690000001 28.4219844, 77.1044924 28.4219849))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_9999_16548459673249486641,"dhaba 29,sector 29",6,893da11a8bbffff,853da11bfffffff,IN.HR.GU,Gurgaon,32,663,IND,3.4,all_ind_3.4_all,2024,2024-06-01 00:01:01,"POLYGON ((77.0620947 28.4684535, 77.06231029999999 28.4686248, 77.0626666 28.4682784, 77.062451 28.4681071, 77.0620947 28.4684535))",Bar and Pub,Haryana,\N
food.nightlife.bar_pub,POI_1001_356ttnf1-89803504e9c54448b73cec10f33a4baa,addiction,6,893da11a997ffff,853da11bfffffff,IN.HR.GU,Gurgaon,100,2072,IND,3.4,all_ind_3.4_all,2024,2024-06-01 00:01:01,"POLYGON ((77.079949 28.4809296, 77.0804483 28.4809352, 77.080459 28.4802067, 77.0799597 28.4802011, 77.079949 28.4809296))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttncf-39d4249df45423796066cfab7411aa32,toxic sharma's,6,893da103687ffff,853da103fffffff,IN.HR.GU,Gurgaon,4,182,IND,3.4,all_ind_3.4_all,2024,2024-06-07 00:01:01,"POLYGON ((77.105323 28.4671918, 77.1054285 28.4671498, 77.1053369 28.4669716, 77.10523139999999 28.4670135, 77.105323 28.4671918))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1003_1562507610,Bar and restaurant,6,893da11ae27ffff,853da11bfffffff,IN.HR.GU,Gurgaon,16,288,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.05117670836341 28.45404016195009, 77.05102381336343 28.4541522849501, 77.0510230413697 28.4541529124453, 77.05102233554531 28.45415361354191, 77.05102170287594 28.454154381301, 77.05102114962331 28.45415520812387, 77.05102068126308 28.45415608582725, 77.05102030243073 28.4541570057243, 77.05102001687565 28.45415795871058, 77.05101982742406 28.45415893535413, 77.051019735951 28.45415992598888, 77.05101974336181 28.45416092081028, 77.05101984958313 28.45416190997233, 77.05102005356366 28.45416288368506, 77.05102035328457 28.45416383231139, 77.05102074577945 28.45416474646253, 77.05102122716367 28.45416561709091, 77.05102179267286 28.4541664355797, 77.05102243671003 28.45416719382811, 77.05109954171003 28.45424931682808, 77.05110023620726 28.45424998835002, 77.05110099226093 28.45425058972426, 77.05110180281501 28.45425111533837, 77.05110266030488 28.45425156028695, 77.05110355672784 28.45425192041745, 77.05110448371788 28.45425219236889, 77.05110543262369 28.45425237360322, 77.05110639458943 28.45425246242905, 77.05110736063739 28.45425245801738, 77.05110832175173 28.45425236040941, 77.0511092689627 28.45425217051606, 77.05111019343029 28.45425189010955, 77.0511110865267 28.45425152180683, 77.05111193991699 28.45425106904515, 77.05111274563671 28.45425053604999, 77.0512656406367 28.45413841304999, 77.05126641263043 28.45413778555479, 77.05126711845482 28.45413708445818, 77.05126775112419 28.45413631669909, 77.05126830437682 28.45413548987622, 77.05126877273705 28.45413461217284, 77.0512691515694 28.45413369227579, 77.05126943712447 28.45413273928951, 77.05126962657607 28.45413176264596, 77.05126971804913 28.45413077201121, 77.05126971063832 28.45412977718981, 77.051269604417 28.45412878802776, 77.05126940043647 28.45412781431503, 77.05126910071556 28.4541268656887, 77.05126870822068 28.45412595153756, 77.05126822683646 28.45412508090918, 77.05126766132727 28.4541242624204, 77.0512670172901 28.45412350417198, 77.0511899122901 28.454041381172, 77.05118921779287 28.45404070965006, 77.0511884617392 28.45404010827582, 77.05118765118512 28.45403958266172, 77.05118679369525 28.45403913771313, 77.05118589727229 28.45403877758263, 77.05118497028225 28.45403850563119, 77.05118402137644 28.45403832439686, 77.0511830594107 28.45403823557103, 77.05118209336275 28.4540382399827, 77.0511811322484 28.45403833759067, 77.05118018503742 28.45403852748402, 77.05117926056984 28.45403880789053, 77.05117836747343 28.45403917619325, 77.05117751408314 28.45403962895493, 77.05117670836341 28.45404016195009))",Bar and Pub,Haryana,
food.nightlife.brewery,POI_1001_356ttnc9-34b39b8bc400418a805f3cb946ff6844,good earth the brewery,6,893da118113ffff,853da11bfffffff,IN.HR.GU,Gurgaon,5,99,IND,3.4,all_ind_3.4_all,2024,2024-06-06 00:01:01,,Brewery,Haryana,
food.nightlife.bar_pub,POI_1001_356jx7ps-76be1d4a6ecb08be64b0df12789fd048,local,6,893da11a8bbffff,853da11bfffffff,IN.HR.GU,Gurgaon,20,396,IND,3.4,all_ind_3.4_all,2024,2024-06-06 00:01:01,"POLYGON ((77.0620947 28.4684535, 77.06231029999999 28.4686248, 77.0626666 28.4682784, 77.062451 28.4681071, 77.0620947 28.4684535))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttnf4-39c50abe4c854ddbafe730d74e0537ca,scotchyard kitchen & bar.,6,893da111a4fffff,853da113fffffff,IN.HR.GU,Gurgaon,6,200,IND,3.4,all_ind_3.4_all,2024,2024-06-06 00:01:01,"POLYGON ((77.08816349999999 28.4847981, 77.0886026 28.4846945, 77.0885498 28.4845217, 77.08845549999999 28.4845439, 77.0884776 28.4846163, 77.08822410000001 28.4846761, 77.0882043 28.484611, 77.08811300000001 28.4846326, 77.08816349999999 28.4847981))",Bar and Pub,Haryana,
